iter	Passed	Remaining
0	67	33840
1	74	18578
2	80	13259
3	84	10522
4	89	8862
5	93	7675
6	96	6788
7	99	6142
8	102	5609
9	106	5198
10	108	4833
11	111	4549
12	115	4336
13	119	4144
14	122	3967
15	125	3810
16	128	3657
17	131	3522
18	134	3410
19	138	3316
20	142	3243
21	145	3152
22	147	3068
23	150	2991
24	153	2922
25	157	2871
26	160	2809
27	163	2750
28	166	2700
29	169	2652
30	172	2612
31	175	2570
32	178	2530
33	181	2488
34	184	2451
35	187	2415
36	190	2382
37	193	2347
38	195	2316
39	198	2277
40	200	2247
41	204	2228
42	206	2194
43	210	2177
44	214	2164
45	216	2133
46	219	2114
47	222	2090
48	225	2071
49	228	2052
50	230	2032
51	234	2019
52	237	2001
53	240	1989
54	243	1973
55	246	1956
56	250	1946
57	253	1930
58	256	1916
59	259	1906
60	262	1892
61	266	1880
62	269	1866
63	271	1852
64	274	1839
65	278	1828
66	281	1816
67	283	1802
68	286	1789
69	289	1779
70	292	1768
71	295	1756
72	299	1749
73	302	1740
74	303	1718
75	306	1707
76	309	1697
77	312	1690
78	315	1682
79	318	1671
80	321	1662
81	324	1655
82	327	1643
83	330	1636
84	333	1628
85	336	1620
86	339	1612
87	343	1606
88	346	1601
89	351	1600
90	354	1595
91	359	1593
92	363	1590
93	367	1588
94	368	1572
95	373	1570
96	377	1568
97	381	1566
98	386	1565
99	390	1560
100	392	1549
101	396	1546
102	400	1542
103	403	1536
104	406	1530
105	407	1515
106	411	1511
107	416	1510
108	420	1507
109	421	1493
110	425	1490
111	430	1489
112	433	1485
113	437	1482
114	441	1479
115	445	1475
116	450	1475
117	454	1471
118	458	1468
119	462	1463
120	465	1457
121	468	1450
122	470	1443
123	474	1438
124	477	1432
125	480	1426
126	483	1421
127	487	1416
128	490	1410
129	494	1407
130	498	1403
131	502	1401
132	505	1395
133	509	1391
134	512	1386
135	516	1381
136	519	1376
137	523	1372
138	526	1366
139	529	1361
140	530	1351
141	534	1347
142	538	1343
143	541	1339
144	545	1336
145	549	1333
146	554	1332
147	559	1329
148	563	1327
149	568	1325
150	572	1322
151	576	1319
152	579	1314
153	583	1311
154	588	1309
155	592	1305
156	595	1302
157	599	1297
158	602	1292
159	606	1288
160	609	1283
161	612	1278
162	615	1273
163	619	1269
164	623	1265
165	627	1263
166	633	1263
167	640	1265
168	646	1265
169	647	1256
170	653	1256
171	661	1261
172	666	1259
173	672	1259
174	681	1265
175	688	1268
176	693	1265
177	697	1262
178	701	1258
179	706	1255
180	712	1255
181	717	1253
182	721	1249
183	725	1246
184	733	1248
185	737	1245
186	743	1243
187	747	1240
188	752	1237
189	757	1236
190	762	1232
191	768	1232
192	771	1226
193	775	1223
194	784	1227
195	790	1225
196	795	1222
197	799	1219
198	803	1215
199	808	1212
200	813	1210
201	818	1207
202	822	1203
203	826	1199
204	831	1197
205	835	1192
206	839	1187
207	842	1182
208	847	1179
209	851	1175
210	855	1171
211	859	1167
212	864	1164
213	867	1159
214	872	1156
215	877	1153
216	884	1153
217	889	1150
218	894	1147
219	898	1143
220	903	1140
221	908	1137
222	912	1132
223	916	1128
224	921	1126
225	927	1124
226	932	1121
227	936	1117
228	942	1115
229	947	1112
230	950	1107
231	954	1102
232	958	1098
233	962	1094
234	968	1092
235	975	1090
236	979	1086
237	984	1083
238	988	1079
239	993	1076
240	998	1072
241	1002	1069
242	1007	1065
243	1011	1060
244	1015	1057
245	1019	1053
246	1025	1050
247	1030	1046
248	1033	1042
249	1038	1038
250	1044	1036
251	1049	1032
252	1053	1028
253	1058	1025
254	1064	1022
255	1067	1017
256	1071	1013
257	1075	1008
258	1079	1004
259	1084	1000
260	1088	996
261	1092	992
262	1096	987
263	1100	983
264	1104	979
265	1108	975
266	1113	971
267	1121	970
268	1127	968
269	1134	966
270	1138	961
271	1142	958
272	1147	954
273	1153	951
274	1159	948
275	1164	945
276	1170	942
277	1175	938
278	1181	936
279	1186	932
280	1193	930
281	1206	932
282	1213	930
283	1353	1029
284	1369	1033
285	1382	1034
286	1395	1035
287	1415	1041
288	1436	1048
289	1446	1047
290	1458	1047
291	1501	1069
292	1524	1076
293	1529	1072
294	1534	1066
295	1538	1060
296	1541	1053
297	1545	1047
298	1550	1042
299	1555	1037
300	1564	1034
301	1574	1032
302	1580	1027
303	1590	1025
304	1596	1020
305	1601	1015
306	1605	1009
307	1608	1003
308	1613	997
309	1616	991
310	1620	984
311	1623	978
312	1627	972
313	1632	967
314	1636	961
315	1640	955
316	1644	949
317	1647	943
318	1651	937
319	1655	930
320	1659	925
321	1662	919
322	1668	914
323	1671	907
324	1675	902
325	1679	896
326	1683	890
327	1687	884
328	1691	879
329	1694	873
330	1699	867
331	1703	862
332	1709	857
333	1715	852
334	1719	846
335	1725	842
336	1730	836
337	1734	831
338	1739	826
339	1744	820
340	1748	815
341	1753	810
342	1757	804
343	1761	798
344	1765	793
345	1769	787
346	1774	782
347	1778	776
348	1781	770
349	1785	765
350	1789	759
351	1794	754
352	1798	749
353	1803	743
354	1808	738
355	1811	732
356	1816	727
357	1820	721
358	1823	716
359	1826	710
360	1830	704
361	1835	699
362	1839	694
363	1843	688
364	1847	683
365	1852	678
366	1856	672
367	1860	667
368	1865	662
369	1870	657
370	1875	651
371	1878	646
372	1883	641
373	1887	635
374	1891	630
375	1894	624
376	1898	619
377	1902	614
378	1906	608
379	1910	603
380	1916	598
381	1920	593
382	1924	588
383	1928	582
384	1933	577
385	1938	572
386	1942	567
387	1945	561
388	1949	556
389	1957	552
390	1961	546
391	1966	541
392	1970	536
393	1975	531
394	1980	526
395	1984	521
396	1988	516
397	1993	510
398	1998	505
399	2002	500
400	2007	495
401	2012	490
402	2017	485
403	2021	480
404	2024	474
405	2029	469
406	2033	464
407	2037	459
408	2040	454
409	2044	448
410	2048	443
411	2052	438
412	2056	433
413	2060	428
414	2064	422
415	2067	417
416	2071	412
417	2075	407
418	2079	401
419	2083	396
420	2087	391
421	2092	386
422	2096	381
423	2099	376
424	2103	371
425	2106	365
426	2110	360
427	2114	355
428	2117	350
429	2122	345
430	2127	340
431	2131	335
432	2135	330
433	2139	325
434	2144	320
435	2148	315
436	2152	310
437	2156	305
438	2160	300
439	2163	295
440	2167	289
