iter	Passed	Remaining
0	6	3377
1	13	3324
2	17	2861
3	22	2848
4	28	2786
5	36	2977
6	41	2942
7	51	3155
8	57	3154
9	59	2917
10	67	3002
11	72	2942
12	79	2987
13	86	2994
14	93	3007
15	101	3082
16	108	3071
17	116	3130
18	123	3120
19	129	3115
20	136	3124
21	144	3137
22	152	3157
23	158	3143
24	165	3143
25	167	3053
26	168	2956
27	175	2950
28	182	2970
29	188	2959
30	195	2954
31	202	2955
32	209	2963
33	210	2891
34	219	2919
35	228	2946
36	235	2944
37	240	2924
38	250	2957
39	255	2942
40	266	2980
41	271	2965
42	281	2992
43	288	2986
44	296	2997
45	299	2955
46	305	2949
47	314	2965
48	321	2957
49	330	2974
50	336	2965
51	346	2981
52	352	2975
53	361	2982
54	367	2976
55	376	2989
56	386	3001
57	396	3020
58	402	3007
59	412	3022
60	419	3017
61	429	3036
62	431	2991
63	440	3004
64	449	3006
65	457	3005
66	465	3008
67	472	3004
68	480	2999
69	487	2995
70	497	3003
71	504	3000
72	513	3001
73	519	2989
74	530	3008
75	542	3026
76	550	3023
77	561	3037
78	572	3050
79	583	3060
80	593	3072
81	603	3076
82	613	3080
83	622	3082
84	630	3079
85	639	3079
86	647	3075
87	657	3080
88	664	3070
89	674	3071
90	680	3059
91	689	3058
92	696	3049
93	706	3051
94	714	3045
95	725	3055
96	736	3061
97	745	3057
98	754	3056
99	756	3025
100	762	3013
101	772	3015
102	780	3007
103	788	3003
104	794	2988
105	801	2980
106	809	2972
107	810	2942
108	819	2938
109	825	2926
110	834	2923
111	842	2917
112	849	2910
113	857	2905
114	862	2887
115	872	2889
116	880	2881
117	889	2878
118	895	2868
119	904	2864
120	910	2853
121	921	2853
122	927	2842
123	935	2837
124	943	2831
125	953	2830
126	959	2816
127	968	2815
128	974	2803
129	983	2800
130	990	2790
131	992	2766
132	1001	2762
133	1007	2752
134	1016	2748
135	1024	2741
136	1034	2740
137	1040	2730
138	1050	2728
139	1057	2719
140	1066	2714
141	1074	2708
142	1084	2708
143	1091	2697
144	1100	2694
145	1107	2685
146	1116	2681
147	1124	2674
148	1133	2670
149	1136	2651
150	1143	2642
151	1151	2636
152	1159	2628
153	1168	2624
154	1177	2620
155	1185	2613
156	1192	2606
157	1201	2600
158	1209	2593
159	1218	2589
160	1229	2589
161	1238	2583
162	1249	2582
163	1256	2574
164	1266	2572
165	1268	2551
166	1279	2552
167	1285	2541
168	1295	2538
169	1302	2528
170	1310	2521
171	1318	2515
172	1329	2512
173	1334	2500
174	1342	2493
175	1350	2487
176	1359	2480
177	1369	2477
178	1381	2477
179	1391	2474
180	1402	2471
181	1410	2464
182	1420	2460
183	1426	2450
184	1433	2441
185	1445	2440
186	1452	2431
187	1462	2427
188	1470	2419
189	1480	2415
190	1491	2413
191	1503	2411
192	1514	2408
193	1522	2401
194	1531	2396
195	1542	2392
196	1551	2386
197	1561	2381
198	1568	2372
199	1577	2366
200	1583	2356
201	1594	2352
202	1602	2344
203	1611	2337
204	1617	2328
205	1627	2323
206	1637	2317
207	1647	2312
208	1659	2310
209	1672	2309
210	1681	2302
211	1693	2299
212	1705	2298
213	1716	2293
214	1726	2289
215	1737	2284
216	1745	2276
217	1756	2272
218	1764	2264
219	1775	2260
220	1784	2252
221	1794	2246
222	1807	2244
223	1815	2236
224	1825	2230
225	1836	2226
226	1844	2217
227	1854	2212
228	1861	2203
229	1874	2199
230	1882	2192
231	1892	2185
232	1904	2182
233	1910	2171
234	1922	2167
235	1929	2157
236	1940	2153
237	1954	2151
238	1964	2145
239	1975	2140
240	1985	2134
241	1993	2125
242	2005	2120
243	2013	2112
244	2022	2105
245	2033	2099
246	2041	2091
247	2052	2086
248	2060	2076
249	2069	2069
250	2076	2060
251	2088	2055
252	2097	2047
253	2108	2041
254	2119	2036
255	2127	2027
256	2141	2024
257	2151	2018
258	2158	2008
259	2169	2002
260	2175	1992
261	2185	1985
262	2192	1975
263	2203	1969
264	2213	1963
265	2217	1950
266	2224	1941
267	2235	1935
268	2243	1926
269	2252	1918
270	2261	1911
271	2270	1902
272	2278	1894
273	2288	1887
274	2300	1881
275	2307	1873
276	2317	1865
277	2324	1856
278	2334	1849
279	2347	1844
280	2354	1834
281	2367	1830
282	2373	1820
283	2383	1813
284	2392	1804
285	2401	1797
286	2411	1789
287	2418	1780
288	2428	1773
289	2435	1763
290	2445	1756
291	2452	1747
292	2463	1740
293	2472	1732
294	2481	1724
295	2491	1717
296	2500	1709
297	2511	1702
298	2521	1695
299	2535	1690
300	2547	1684
301	2558	1677
302	2565	1667
303	2575	1660
304	2584	1652
305	2596	1646
306	2602	1636
307	2612	1628
308	2620	1620
309	2633	1614
310	2643	1606
311	2650	1597
312	2661	1590
313	2667	1580
314	2678	1573
315	2687	1564
316	2696	1556
317	2704	1547
318	2712	1539
319	2721	1531
320	2728	1521
321	2738	1513
322	2746	1505
323	2756	1497
324	2763	1487
325	2772	1479
326	2780	1470
327	2791	1463
328	2799	1454
329	2809	1447
330	2820	1439
331	2830	1432
332	2840	1424
333	2849	1416
334	2858	1407
335	2870	1401
336	2884	1395
337	2895	1387
338	2905	1380
339	2915	1372
340	2924	1363
341	2936	1356
342	2944	1347
343	2953	1339
344	2960	1330
345	2970	1322
346	2980	1314
347	2990	1306
348	2998	1297
349	3007	1288
350	3016	1280
351	3026	1272
352	3039	1265
353	3048	1257
354	3056	1248
355	3067	1240
356	3075	1231
357	3085	1223
358	3090	1213
359	3098	1204
360	3104	1195
361	3113	1186
362	3121	1178
363	3131	1169
364	3136	1160
365	3143	1151
366	3151	1141
367	3156	1132
368	3166	1124
369	3173	1115
370	3183	1107
371	3190	1097
372	3199	1089
373	3207	1080
374	3218	1072
375	3225	1063
376	3235	1055
377	3248	1048
378	3256	1039
379	3266	1031
380	3274	1022
381	3284	1014
382	3294	1006
383	3300	997
384	3306	987
385	3314	979
386	3321	969
387	3332	961
388	3338	952
389	3347	944
390	3354	935
391	3363	926
392	3372	918
393	3382	909
394	3391	901
395	3398	892
396	3406	883
397	3418	876
398	3429	868
399	3437	859
400	3447	851
401	3457	842
402	3466	834
403	3476	826
404	3484	817
405	3495	809
406	3502	800
407	3511	791
408	3520	783
409	3529	774
410	3540	766
411	3547	757
412	3560	750
413	3569	741
414	3580	733
415	3590	725
416	3598	716
417	3608	707
418	3613	698
419	3622	690
420	3629	680
421	3635	672
422	3644	663
423	3653	654
424	3663	646
425	3674	638
426	3682	629
427	3694	621
428	3706	613
429	3716	604
430	3727	596
431	3738	588
432	3744	579
433	3755	571
434	3764	562
435	3774	554
436	3781	545
437	3792	536
438	3802	528
439	3809	519
440	3820	511
441	3827	502
442	3837	493
443	3843	484
444	3854	476
445	3865	468
446	3873	459
447	3884	450
448	3892	442
449	3902	433
450	3910	424
451	3921	416
452	3930	407
453	3939	399
454	3950	390
455	3958	381
456	3970	373
457	3976	364
458	3986	356
459	3994	347
460	4004	338
461	4015	330
462	4025	321
463	4037	313
464	4047	304
465	4056	295
466	4066	287
467	4078	278
468	4086	270
469	4098	261
470	4107	252
471	4117	244
472	4126	235
473	4136	226
474	4146	218
475	4155	209
476	4163	200
477	4169	191
478	4180	183
479	4187	174
480	4196	165
481	4203	156
482	4221	148
483	4231	139
484	4238	131
485	4248	122
486	4256	113
487	4266	104
488	4277	96
489	4285	87
490	4296	78
491	4303	69
492	4314	61
493	4320	52
494	4329	43
495	4337	34
496	4347	26
497	4359	17
498	4368	8
499	4380	0
